"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","logfc"
"27307","S100A9","MSTRG.15638","ENST00000368738","transcript","27307",2.14051511891115,0.00387455128717995,0.0232253061590836,1.09795802563112
"27311","S100A12","MSTRG.15640","ENST00000368737","transcript","27311",2.30785447957486,0.00193162073575448,0.0142111765401711,1.20655225855253
"27315",".","MSTRG.15644","MSTRG.15644.2","transcript","27315",2.95375851633761,0.0242041115352509,0.089487979037275,1.56255188381328
"27316",".","MSTRG.15644","MSTRG.15644.1","transcript","27316",2.37093457072854,0.0153535011962938,0.0642537235528159,1.24545585017212
"27317","S100A8","MSTRG.15644","ENST00000368733","transcript","27317",2.89593061377576,0.000238149454120706,0.00331964283057332,1.53402703599818
"27440","ILF2","MSTRG.15704","ENST00000480213","transcript","27440",0.496315815816057,0.00572194690851491,0.0308119543905659,-1.01066966597098
"27592","RPS27","MSTRG.15733","ENST00000392558","transcript","27592",0.388598148914186,7.04771171577967e-06,0.000332436978051099,-1.36364906622011
"27594",".","MSTRG.15733","MSTRG.15733.3","transcript","27594",0.348407768591966,0.00020519623359383,0.00297937835833741,-1.52115130222455
"27613","TPM3","MSTRG.15740","ENST00000330188","transcript","27613",3.58550868541254,0.000209807798905448,0.00302678894811144,1.84217781233331
"27618","TPM3","MSTRG.15740","ENST00000328159","transcript","27618",4.88001713604686,0.000168517452190597,0.00261950298571377,2.28688621378128
"28025","SLC50A1","MSTRG.15870","ENST00000368401","transcript","28025",2.87927795149151,0.00380779319838076,0.0229620885850274,1.52570706638746
"28855",".","MSTRG.16053","MSTRG.16053.3","transcript","28855",2.62725145928721,0.0265288815656949,0.0958037809803725,1.39355429019555
"29342","MNDA","MSTRG.16370","ENST00000368141","transcript","29342",3.17427532048063,0.000108721458704553,0.00194634207336797,1.66642726562295
"29753","COPA","MSTRG.16581","ENST00000241704","transcript","29753",3.23211334604226,1.45304884561215e-05,0.000541878249460461,1.69247779242936
"29817","CD84","MSTRG.16566","ENST00000368054","transcript","29817",2.37277704836562,0.000112790308385069,0.00198896872729961,1.24657654792826
"29975","F11R","MSTRG.16629","ENST00000368026","transcript","29975",2.58590101298229,0.000661878440488151,0.00662376093450924,1.37066705054923
"30082","DEDD","MSTRG.16617","ENST00000368006","transcript","30082",3.71665848159347,2.96497078638991e-05,0.000857097740167651,1.89400612711604
"30188","FCER1G","MSTRG.16643","ENST00000289902","transcript","30188",2.00267537026004,0.000512415884473372,0.00553514025101741,1.00192858207296
"30304","FCGR2A","MSTRG.16801","ENST00000271450","transcript","30304",2.03411898166269,0.0102141288488108,0.0476508879074436,1.0244040691828
"30315",".","MSTRG.16801","MSTRG.16801.18","transcript","30315",2.31820139489345,0.000116781641694708,0.00203740002271359,1.21300590663462
"30316",".","MSTRG.16801","MSTRG.16801.12","transcript","30316",4.19222953675982,1.80215580846133e-05,0.000619185137647885,2.06771771078738
"31501","CREG1","MSTRG.17433","ENST00000370509","transcript","31501",2.60573532578494,0.00208294050973645,0.0149823914061471,1.38169055145419
"31777","BLZF1","MSTRG.17619","ENST00000367808","transcript","31777",2.51838105063466,0.00034294836889226,0.00420788714104158,1.33249659055053
"31828","SELP","MSTRG.17729","ENST00000263686","transcript","31828",2.611379657129,2.64402381100481e-07,4.02694034459156e-05,1.3848122200557
"31830",".","MSTRG.17729","MSTRG.17729.4","transcript","31830",3.81149792584817,3.78886580476578e-06,0.00021967528197215,1.93035809102273
"31831",".","MSTRG.17729","MSTRG.17729.5","transcript","31831",4.35317443746507,3.26514590498483e-06,0.000202339902002633,2.12206783198512
"31860","SELL","MSTRG.17731","ENST00000463108","transcript","31860",0.498762507380373,0.000928930836760822,0.00836736297774774,-1.00357507488694
"31874","METTL18","MSTRG.17735","ENST00000310392","transcript","31874",0.467511501710714,1.36611882373128e-06,0.00011664385357741,-1.09692623628946
"31904","KIFAP3","MSTRG.17664","ENST00000367765","transcript","31904",3.11518899365487,3.5094244643652e-07,4.77456128247715e-05,1.63931969196117
"31907","KIFAP3","MSTRG.17664","ENST00000361580","transcript","31907",2.08385185531036,0.00453665914542811,0.0260144083157899,1.05925271753675
"32129",".","MSTRG.17814","MSTRG.17814.8","transcript","32129",2.35371180727746,2.21857322602048e-06,0.000159108978270471,1.2349376850048
"32348","TNFSF4","MSTRG.17946","ENST00000367718","transcript","32348",2.21119192589906,0.000392457629567966,0.00460425925488424,1.14482425289079
"32403","PRDX6","MSTRG.17953","ENST00000340385","transcript","32403",2.19620291870333,0.000145475206722145,0.00237643143190237,1.13501135866107
"32478","GAS5","MSTRG.18022","ENST00000448718","transcript","32478",0.47614650853562,0.000494616720027374,0.00541642129664587,-1.07052254106842
"32683","RABGAP1L","MSTRG.18165","ENST00000392064","transcript","32683",2.0514391139348,0.000309478662175122,0.00393768507280425,1.03663633613255
